Name,State,"Start 
Date","Contain 
or 
Control 
Date",Longitude,Latitude
RIVER,CA,7/27/2018,7/30/2018,-123.119445,38.965637
HIRZ,CA,8/9/2018,9/14/2018,-122.228,40.891
Mendocino Complex,CA,7/27/2018,9/18/2018,-123.103367,39.243283
Carr,CA,7/23/2018,8/30/2018,-122.6236,40.6543
Camp,CA,11/8/2018,11/25/2018,-121.395,39.8475
Woolsey,CA,11/8/2018,11/27/2018,-118.7013,34.235
Ferguson,CA,7/13/2018,8/23/2018,-119.881,37.652
County,CA,6/30/2018,7/14/2018,-122.18183,38.80583
Delta,CA,9/5/2018,10/7/2018,-122.228,40.891
Southern LNU Complex,CA,10/9/2017,10/27/2017,-122.24367,38.39206
Garza,CA,7/9/2017,7/10/2017,-119.65,36.75
Thomas,CA,12/4/2017,1/8/2018,-119.1,34.429
Central LNU Complex,CA,10/9/2017,10/10/2017,-122.62879,38.60895
Oak,CA,8/12/2017,9/23/2017,-123.48,41.788
Long Valley,CA,7/11/2017,7/21/2017,-120.145,40.073
Modoc July Complex,CA,7/24/2017,8/13/2017,-120.824,41.829
Detwiler,CA,7/16/2017,8/7/2017,-120.21321,37.61757
Eclipse Complex,CA,8/15/2017,10/8/2017,-123.493,41.792
Salmon August Complex,CA,8/13/2017,10/4/2017,-123.099,41.263
Soberanes,CA,7/22/2016,10/23/2016,-121.3,36.46
Erskine,CA,6/23/2016,7/7/2016,-118.453,35.617
Chimney,CA,8/13/2016,9/5/2016,-120.98316,35.70595
Rough,CA,7/31/2015,10/12/2015,-118.905,36.874
River Complex,CA,7/30/2015,9/25/2015,-123.437,40.913
Valley,CA,9/12/2015,10/5/2015,-116.958,34.096
Butte,CA,9/9/2015,9/30/2015,-120.70418,38.32974
Rocky,CA,7/29/2015,8/14/2015,-122.476248,38.886354
Happy Camp Complex,CA,8/14/2014,12/4/2014,-123.374,41.796
King,CA,9/13/2014,10/9/2014,-120.604,38.782
July Complex,CA,8/3/2014,9/25/2014,-123.3344976,41.5001287
Rim,CA,8/17/2013,10/24/2013,-120.083333,37.85
Chips,CA,7/29/2012,9/8/2012,-120.83,40.01
Lost,CA,8/5/2012,8/12/2012,-119.101,37.622
Bagley,CA,8/18/2012,9/22/2012,-121.930444,41.011615
North Pass,CA,8/18/2012,9/17/2012,-122.9343296,39.78983017
Rush,CA,8/12/2012,9/4/2012,-120.152,40.621
La Brea,CA,8/8/2009,10/5/2009,-119.978,34.95
Station,CA,8/26/2009,11/22/2009,-118.195,34.251
Klamath Theater,CA,6/21/2008,9/26/2008,-124.0384069,41.5265092
Basin Complex,CA,6/21/2008,7/29/2008,-121.89846,36.603954
Iron & Alps Complexes,CA,6/21/2008,9/4/2008,-123.048368,41.000418
Lime Complex,CA,6/20/2008,8/30/2008,-123.434201,40.613736
SHU LightningComplex,CA,6/21/2008,7/30/2008,-121.6527649,41.0107162
Siskiyou / Blue 2 Complex,CA,6/21/2008,9/13/2008,-122.6841,41.5991
Indians,CA,6/8/2008,7/12/2008,-121.666667,36.25
Panther,CA,7/22/2008,10/8/2008,-122.226334,40.180447
BTU Lightning Complex,CA,6/21/2008,10/22/2008,-121.5686111,39.52555556
Ukonom-South Complex,CA,6/20/2008,11/5/2008,-124.0166666,41.77333024
MEU Lightning Complex,CA,6/20/2008,12/1/2008,-123.2083333,39.51388889
Canyon Complex,CA,6/21/2008,11/3/2008,-120.9163423,39.9398922
Ranch,CA,10/20/2007,10/27/2007,-118.6912008,34.5599901
Poomacha,CA,10/23/2007,11/13/2007,-116.77,33.02
Lick,CA,9/3/2007,9/16/2007,-121.435883,37.191441
Zaca Two,CA,7/4/2007,10/29/2007,-119.7828,34.7159
Witch,CA,10/21/2007,11/6/2007,-116.77,33.02
Harris,CA,10/21/2007,11/10/2007,-116.613056,32.604722
Moonlight,CA,9/3/2007,9/25/2007,-120.8471,40.22791
Day,CA,9/4/2006,12/6/2006,-119.0426038,34.5291576
Sawtooth Complex,CA,7/9/2006,7/26/2006,-116.432222,34.114167
Esperanza,CA,10/26/2006,11/4/2006,-116.7548,33.9139
Hackberry Complex,CA,6/22/2005,7/6/2005,-115.527771,35.1219327
