,apparentTemperature,cloudCover,dewPoint,humidity,icon,name,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,96.51,,39.93,0.14,clear-day,Hackberry Complex,0,0,,,Clear,96.51,1119466800,,,145,20.74,9.88
0,70.27,0.09,18.7,0.14,clear-day,Esperanza,0,0,,1023.91,Clear,70.27,1161889200,5,10,345,8.75,1.4
0,95.59,0.32,45.11,0.18,partly-cloudy-day,Sawtooth Complex,0,0,,1008.12,Partly Cloudy,95.59,1152471600,9,8.44,7,7.56,1.94
0,81.6,0,46.35,0.29,clear-day,Day,0,0,,1012.71,Clear,81.6,1157396400,9,10,215,9.23,2.65
0,77.62,0,31.91,0.19,clear-day,Moonlight,0,0,,1013.5,Clear,77.62,1188846000,8,10,206,10.93,2.05
0,69.42,0,12,0.11,clear-day,Harris,0,0,,1015.56,Clear,69.42,1192993200,6,6.97,55,33.3,11.25
0,70.92,0,14.32,0.11,clear-day,Witch,0,0,,1014.77,Clear,70.92,1192993200,6,10,73,25.07,9.35
0,73.35,0,48.63,0.42,clear-day,Zaca Two,0,0,,1011.21,Clear,73.35,1183575600,11,10,198,7.35,2.28
0,78.63,0,52.71,0.41,clear-day,Lick,0,0,,1013.41,Clear,78.63,1188846000,8,10,324,9.02,2.46
0,78.64,0.01,20.49,0.11,clear-day,Poomacha,0,0,,1018.2,Clear,78.64,1193166000,5,5.08,76,24.81,4.53
0,66.08,0,43.51,0.44,clear-day,Ranch,0,0,,1013.89,Clear,66.08,1192906800,5,10,319,22.37,5.76
0,86,,41.35,0.21,clear-day,Canyon Complex,0,0,,,Clear,86,1214074800,,,186,12.32,3.93
0,87.18,0,36.47,0.17,clear-day,MEU Lightning Complex,0,0,,1014.29,Clear,87.18,1213988400,10,10,188,6.58,1.01
0,65.34,0,44.65,0.47,clear-day,Ukonom-South Complex,0,0,,1015.89,Clear,65.34,1213988400,9,10,282,6.26,3.16
0,96.02,0,49.38,0.21,clear-day,BTU Lightning Complex,0,0,,1012.51,Clear,96.02,1214074800,10,10,237,9.3,3.39
0,84.04,0,46.51,0.27,clear-day,Panther,0,0,,1012.83,Clear,84.04,1216753200,9,10,293,6.22,1.14
0,71.7,0,40.52,0.32,clear-day,Indians,0,0,,1016.5,Clear,71.7,1212951600,10,7,277,7.36,2.5
0,71.36,0.54,45.52,0.4,partly-cloudy-day,Siskiyou / Blue 2 Complex,0,0,,1016.96,Partly Cloudy,71.36,1214074800,7,10,155,20.4,8.42
0,75.95,,44.31,0.32,clear-day,SHU Lightning Complex,0,0,,,Clear,75.95,1214074800,,,256,12.09,1.67
0,85.67,,36.27,0.17,clear-day,Lime Complex,0,0,,,Clear,85.67,1213988400,,,175,4.89,0.35
0,51.09,,51.09,1,clear-day,Iron & Alps Complexes,0.0027,0.27,rain,,Clear,51.09,1214074800,,,132,9.61,0.28
0,83.8,0,45.82,0.27,clear-day,Basin Complex,0,0,,1013.71,Clear,83.8,1214074800,10,10,286,10.69,5.8
0,69.76,0,51.7,0.53,clear-day,Klamath Theater,0,0,,1017.55,Clear,69.76,1214074800,9,10,242,10.09,2.91
0,88.74,0.05,35.55,0.15,clear-day,Station,0,0,,1014.71,Clear,88.74,1251313200,9,10,224,8.86,2.22
0,67.11,0,46.66,0.48,clear-day,La Brea,0,0,,1016.19,Clear,67.11,1249758000,10,7,340,12.22,3.78
0,89.87,,28.72,0.11,clear-day,Rush,0,0,,,Clear,89.87,1344798000,,,186,11.81,1.83
0,80.01,,42.42,0.26,clear-day,North Pass,0,0,,,Clear,80.01,1345316400,,,143,9.18,3
0,90.79,0,51.08,0.26,clear-day,Bagley,0,0,,1015.42,Clear,90.79,1345316400,8,10,195,6.75,0.61
0,69.58,0.44,31.37,0.24,partly-cloudy-day,Lost,0,0,,,Partly Cloudy,69.58,1344193200,8,10,268,15.97,4.6
0,73.75,,37.3,0.27,clear-day,Chips,0,0,,,Clear,73.75,1343588400,,,224,7.54,1.94
0,91.12,0,36.73,0.15,clear-day,Rim,0,0,,,Clear,91.12,1376766000,9,10,255,9.35,2.71
0,71.85,,53.81,0.53,clear-day,July Complex,0,0,,,Clear,71.85,1407092400,,,255,5.59,1.21
0,87.08,0,37.12,0.17,clear-day,King,0,0,,,Clear,87.08,1410634800,7,10,244,8.28,1.57
0,76.1,,55.34,0.49,clear-day,Happy Camp Complex,0,0,,,Clear,76.1,1408042800,,10,230,4,2.01
0,91.8,,43.77,0.19,clear-day,Rocky,0,0,,,Clear,91.8,1438196400,,10,24,7.51,0.84
0,96.63,0,37.94,0.13,clear-day,Butte,0,0,,,Clear,96.63,1441825200,7,10,258,8.23,3.13
0,77.96,0.48,57.12,0.49,partly-cloudy-day,Valley,0,0,,1013.69,Partly Cloudy,77.96,1442084400,7,10,223,7.22,1.91
0,92.08,0,41.21,0.17,clear-day,River Complex,0,0,,,Clear,92.08,1438282800,9,10,238,5.47,1.13
0,79.45,,49.33,0.35,clear-day,Rough,0,0,,,Clear,79.45,1438369200,,,206,8.78,2.71
0,86.2,0,50.28,0.29,clear-day,Chimney,0,0,,1013.5,Clear,86.2,1471114800,9,10,288,5.93,1.57
0,84.96,,27.06,0.12,clear-day,Erskine,0,0,,,Clear,84.96,1466708400,,,284,21.63,5.6
0,81.79,0,41.08,0.24,clear-day,Soberanes,0,0,,1020.5,Clear,81.79,1469214000,10,10,297,9.19,4.12
